,Compound,No.,SMILES,Name,CI-Obs.,CI-Cal.,Test
0,Abacavir,1,NC1=NC(NC2CC2)=C2N=CN([C@@H]3C[C@H](CO)C=C3)C2=N1,Abacavir,0.47,0.62,1
1,Acipimox,2,CC1=CN=C(C=[N+]1[O-])C(=O)O,Acipimox,0.25,0.38,0
2,Acyclovir,3,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,Acyclovir,0.17,0.09,1
3,Alanine,4,CC(N)C(O)=O,Alanine,0.3,0.40,1
4,Alfentanil,5,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,Alfentanil,0.75,0.68,0
5,4-Aminohippuric acid(PAH),6,NC1=CC=C(C=C1)C(=O)NCC(O)=O,4_Aminohippuric_acid,0.47,0.41,0
6,Amprenavir,7,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,Amprenavir,0.38,0.39,1
7,Azidothymidine,8,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,Azidothymidine,0.29,0.15,1
8,Betamethasone,9,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,Betamethasone,0.41,0.44,0
9,Biotin,10,OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,Biotin,0.35,0.43,0
10,Bisheteroypiperazine,11,O=C(N1CCN(C2=NC=CC=C2NCC)CC1)C(N3)=CC4=C3C=CC(OC)=C4,Bisheteroypiperazine,0.72,0.65,0
11,Buprenorphine,12,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=CC=C(O)C5=C4[C@@]3(CCN1CC1CC1)[C@H]2O5,Buprenorphine,0.29,0.32,0
12,Cefoperazone,13,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(CSC4=NN=NN4C)=C(N3C2=O)C(O)=O)C2=CC=C(O)C=C2)C(=O)C1=O,Cefoperazone,0.04,0.06,0
13,Cefpirome,14,CO\N=C(/C(O)=N[C@H]1[C@H]2SCC(C[N+]3=CC=CC4=C3CCC4)=C(N2C1=O)C([O-])=O)C1=CSC(=N)N1,Cefpirome,0.2,0.02,0
14,Ceftizoxime,15,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(O)=O)C1=CSC(N)=N1,Ceftizoxime,0.12,0.04,1
15,Chloroprocaine,16,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1Cl,Chloroprocaine,0.83,0.69,1
16,L-Leucine,17,CC(C)C[C@H](N)C(O)=O,L_Leucine,0.62,0.55,0
17,Lidocaine,18,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,Lidocaine,0.91,0.96,0
18,Bupivacaine,19,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,Bupivacaine,0.73,0.91,1
19,Cimetidine,20,CN=C(NCCSCC1=C(C)N=CN1)NC#N,Cimetidine,0.3,0.38,1
20,Clavulanic acid,21,OC\C=C1/O[C@@H]2CC(=O)N2[C@H]1C(O)=O,Clavulanic_acid,0.06,0.11,0
21,Cocaethylene,22,CCOC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1OC(=O)C1=CC=CC=C1)N2C,Cocaethylene,0.78,0.82,0
22,Cocaine,23,COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1OC(=O)C1=CC=CC=C1)N2C,Cocaine,0.88,0.74,0
23,Cortisol,24,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,Cortisol,0.5,0.54,1
24,Cortisone,25,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,Cortisone,0.74,0.63,0
25,Creatinine,26,CN1C=C(O)N=C1N,Creatinine,0.31,0.36,0
26,D4T(Stavudine),27,CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O,Stavudine,0.24,0.25,0
